category,name,finish,material,price,old_price,opt_usd,feat,image,badge,rating,reviews,warranty,mount,alibaba_url
smesitel,Deck Mounted Bathroom Sink Water Tap Brass Smart Sensor Faucet,premium,Alamă masivă,2400,3050,30.3,Deck Mounted Bathroom Sink Water Tap Brass Smart Sensor Faucet,mic-smesitel-01.webp,sale,4.7,15,3 ani,Pe blat,https://www.made-in-china.com/product/wAUYWBfxhFhl/China-Deck-Mounted-Bathroom-Sink-Water-Tap-Brass-Smart-Sensor-Faucet.html
smesitel,High Quality Smart Touch Garden Modern Digital Hot Water Bridge Automati,premium,Alamă masivă,1650,0,20.9,High Quality Smart Touch Garden Modern Digital Hot Water Bridge Automati,mic-smesitel-02.webp,hot,4.8,22,3 ani,Pe blat,https://www.made-in-china.com/product/EOAtTMIHurcn/China-High-Quality-Smart-Touch-Garden-Modern-Digital-Hot-Water-Bridge-Automatic-Wall-Round-Brass-Luxury-Bathroom-Kitchen-Faucet-Sensor-Sink-Wall-Mount-Traditional.html
smesitel,Brass Material Smart Induction Kitchen Equipment Bathroom Sink Mixer Tap,premium,Alamă masivă,4000,0,50.0,Brass Material Smart Induction Kitchen Equipment Bathroom Sink Mixer Tap,mic-smesitel-03.webp,new,4.9,29,3 ani,Pe blat,https://www.made-in-china.com/product/grORnXmHseVE/China-Brass-Material-Smart-Induction-Kitchen-Equipment-Bathroom-Sink-Mixer-Tap-Water-Saving-Technology-Sanitary-Ware-Sensor-Faucet.html
smesitel,Infrared Single Cold Water Saving Smart Brass Bathroom Induction Touchle,premium,Alamă masivă,2200,2800,27.8,Infrared Single Cold Water Saving Smart Brass Bathroom Induction Touchle,mic-smesitel-04.webp,sale,4.6,36,3 ani,Pe blat,https://www.made-in-china.com/product/JOCADedufmky/China-Infrared-Single-Cold-Water-Saving-Smart-Brass-Bathroom-Induction-Touchless-Automatic-Sensor-Water-Taps-Faucet-for-Wash-Basin.html
smesitel,High Quality Hot Selling Manufacturer Bathroom Smart Brass Faucet Automa,premium,Alamă masivă,2900,0,36.47,High Quality Hot Selling Manufacturer Bathroom Smart Brass Faucet Automa,mic-smesitel-05.webp,,4.7,43,3 ani,Pe blat,https://www.made-in-china.com/product/QARpEHZrFTVz/China-High-Quality-Hot-Selling-Manufacturer-Bathroom-Smart-Brass-Faucet-Automatic-Smart-Touch-Sensor-Faucet.html
smesitel,Bathroom Brass Touchless Smart Basin Faucet Mixer Automatic Infrared Sen,premium,Alamă masivă,2000,0,25.0,Bathroom Brass Touchless Smart Basin Faucet Mixer Automatic Infrared Sen,,,4.8,50,3 ani,Pe blat,https://www.made-in-china.com/product/MmNpJCSVgTRD/China-Bathroom-Brass-Touchless-Smart-Basin-Faucet-Mixer-Automatic-Infrared-Sensor-Water-Tap.html
smesitel,Stainless Steel Touch Sensor Smart Kitchen Faucet Single Handle Brass Bo,premium,Alamă masivă,80,100,1.0,Stainless Steel Touch Sensor Smart Kitchen Faucet Single Handle Brass Bo,mic-smesitel-07.webp,sale,4.9,57,3 ani,Pe blat,https://www.made-in-china.com/product/jtHYmbnTjahJ/China-Stainless-Steel-Touch-Sensor-Smart-Kitchen-Faucet-Single-Handle-Brass-Body-Tap-for-Home-Bathroom.html
smesitel,Automatic Touchless Bathroom Sink Faucet Smart Infrared Wave Motion Sens,premium,Alamă masivă,8400,0,105.0,Automatic Touchless Bathroom Sink Faucet Smart Infrared Wave Motion Sens,mic-smesitel-08.webp,new,4.6,14,5 ani,Pe blat,https://www.made-in-china.com/product/nEPpQsKrRLYV/China-Automatic-Touchless-Bathroom-Sink-Faucet-Smart-Infrared-Wave-Motion-Sensor-Brass-Mixer-Tap-with-Soap-Dispenser.html
smesitel,Automatic Intelligent Smart Control Basin Faucet Taps Body Full Brass Mi,premium,Alamă masivă,3550,0,44.56,Automatic Intelligent Smart Control Basin Faucet Taps Body Full Brass Mi,mic-smesitel-09.webp,,4.7,21,3 ani,Pe blat,https://www.made-in-china.com/product/stZYfVrvXRWh/China-Automatic-Intelligent-Smart-Control-Basin-Faucet-Taps-Body-Full-Brass-Mixer-Water-Bathroom-Faucet-Sensor-Water-Faucet-Sensor.html
smesitel,Brass Alloy Bathroom Accessories Automatic Infrared Sensor Cold and Hot,premium,Alamă masivă,4000,5100,50.0,Brass Alloy Bathroom Accessories Automatic Infrared Sensor Cold and Hot,mic-smesitel-10.webp,sale,4.8,28,3 ani,Pe blat,https://www.made-in-china.com/product/IYOUjQoKrbVW/China-Brass-Alloy-Bathroom-Accessories-Automatic-Infrared-Sensor-Cold-and-Hot-Water-Tap-Smart-Touchless-Sink-Faucet-Water-Tap-Sensor-Faucet.html
